ID,Feature,Scenario,Expected Result,Last tested by,29-10-2025,01-11-2025,08-11-2025
92,Dashboard,Check dashboard loading time - Edge Case,Should load < 2 sec,kvamsi82,Fail,,
93,Dashboard,Check dashboard loading time - Invalid Input,Proper error message,kvamsi82,Fail,,
94,Dashboard,Incorrect data in dashboard,Show error,kvamsi82,Fail,,
95,Dashboard,Incorrect data in dashboard - Edge Case,Show error,kvamsi82,Fail,,
96,Dashboard,Incorrect data in dashboard - Invalid Input,Proper error message,kvamsi82,Fail,,
97,Dashboard,Dashboard auto-refresh,Updates correctly,kvamsi82,Fail,,
98,Dashboard,Dashboard auto-refresh - Edge Case,Updates correctly,kvamsi82,Fail,,
99,Dashboard,Dashboard auto-refresh - Invalid Input,Proper error message,kvamsi82,Fail,,
100,Dashboard,Mobile responsive dashboard,Display properly,kvamsi82,Fail,,
101,Dashboard,Mobile responsive dashboard - Edge Case,Display properly,kvamsi82,Fail,,
102,Dashboard,Mobile responsive dashboard - Invalid Input,Proper error message,kvamsi82,Fail,,
103,Dashboard,Dark mode dashboard,Display correctly,kvamsi82,Fail,,
104,AI Coach (Chatbot),Track monthly trends - Invalid Input,Proper error message,kvamsi82,Fail,,
105,AI Coach (Chatbot),Ask for workout plan,Suggest correctly,kvamsi82,Fail,,
106,AI Coach (Chatbot),Ask for workout plan - Edge Case,Suggest correctly,kvamsi82,Fail,,
107,AI Coach (Chatbot),Ask for workout plan - Invalid Input,Proper error message,kvamsi82,Fail,,
108,AI Coach (Chatbot),Ask for diet plan,Suggest correctly,kvamsi82,Fail,,
109,AI Coach (Chatbot),Ask for diet plan - Edge Case,Suggest correctly,kvamsi82,Fail,,
110,AI Coach (Chatbot),Ask for diet plan - Invalid Input,Proper error message,kvamsi82,Fail,,
111,AI Coach (Chatbot),Ask vague question,Request clarification,kvamsi82,Fail,,
112,AI Coach (Chatbot),Ask vague question - Edge Case,Request clarification,kvamsi82,Fail,,
113,AI Coach (Chatbot),Ask vague question - Invalid Input,Proper error message,kvamsi82,Fail,,
114,AI Coach (Chatbot),Ask repeated questions,Handle gracefully,kvamsi82,Fail,,
115,AI Coach (Chatbot),Ask repeated questions - Edge Case,Handle gracefully,kvamsi82,Fail,,
116,AI Coach (Chatbot),Ask repeated questions - Invalid Input,Proper error message,kvamsi82,Fail,,
117,AI Coach (Chatbot),Ask using slang,Handle gracefully,kvamsi82,Fail,,
118,AI Coach (Chatbot),Ask using slang - Edge Case,Handle gracefully,kvamsi82,Fail,,
119,AI Coach (Chatbot),Ask using slang - Invalid Input,Proper error message,kvamsi82,Fail,,
120,AI Coach (Chatbot),Request motivation,Provide motivational response,kvamsi82,Fail,,
121,AI Coach (Chatbot),Request motivation - Edge Case,Provide motivational response,kvamsi82,Fail,,
122,AI Coach (Chatbot),Request motivation - Invalid Input,Proper error message,kvamsi82,Fail,,
123,AI Coach (Chatbot),Track calories via chatbot,Update correctly,kvamsi82,Fail,,
124,AI Coach (Chatbot),Track calories via chatbot - Edge Case,Update correctly,kvamsi82,Fail,,
125,AI Coach (Chatbot),Track calories via chatbot - Invalid Input,Proper error message,kvamsi82,Fail,,
126,AI Coach (Chatbot),Ask about BMI,Respond correctly,kvamsi82,Fail,,
127,AI Coach (Chatbot),Ask about BMI - Edge Case,Respond correctly,kvamsi82,Fail,,
128,AI Coach (Chatbot),Ask about BMI - Invalid Input,Proper error message,kvamsi82,Fail,,
129,AI Coach (Chatbot),Ask out-of-scope question,Show 'not supported' message,kvamsi82,Fail,,
130,AI Coach (Chatbot),Ask out-of-scope question - Edge Case,Show 'not supported' message,kvamsi82,Fail,,
131,Progress Tracker,Download progress report - Edge Case,File generated,kvamsi82,Fail,,
132,Progress Tracker,Download progress report - Invalid Input,Proper error message,kvamsi82,Fail,,
133,Progress Tracker,Track streaks over a week,Correct results,kvamsi82,Fail,,
134,Progress Tracker,Track streaks over a week - Edge Case,Correct results,kvamsi82,Fail,,
135,Progress Tracker,Track streaks over a week - Invalid Input,Proper error message,kvamsi82,Fail,,
136,Progress Tracker,Track monthly trends,Graph generated,kvamsi82,Fail,,
137,Progress Tracker,Track monthly trends - Edge Case,Graph generated,kvamsi82,Fail,,
168,Today's Challenges,Ask out-of-scope question - Invalid Input,Proper error message,kvamsi82,Fail,,
169,Today's Challenges,View daily challenges,Challenges displayed correctly,kvamsi82,Fail,,
170,Today's Challenges,Accept challenge,Marked as �In progress�,kvamsi82,Fail,,
171,Today's Challenges,Complete challenge,Marked as �Completed� with rewards,kvamsi82,Fail,,
172,Today's Challenges,Skip challenge,Show �Skipped� status,kvamsi82,Fail,,
173,Today's Challenges,Expired challenge,Show �Challenge expired� error,kvamsi82,Fail,,
174,Today's Challenges,Challenge reminder notification,Notification received,kvamsi82,Fail,,
175,Today's Challenges,Challenge streak tracking,Streak count updated correctly,kvamsi82,Fail,,
176,Exercise Analysis,Challenge leaderboard,Display correct rankings,kvamsi82,Fail,,
177,Exercise Analysis,Upload exercise data,Upload successful,kvamsi82,Fail,,
178,Exercise Analysis,Upload invalid file/data,Show error,kvamsi82,Fail,,
179,Exercise Analysis,View exercise summary,Display correctly,kvamsi82,Fail,,
180,Exercise Analysis,Get form correction feedback,Suggestions displayed correctly,kvamsi82,Fail,,
181,Exercise Analysis,Track repetitions/sets automatically,Count displayed accurately,kvamsi82,Fail,,
182,Exercise Analysis,Compare with past performance,Graph displayed correctly,kvamsi82,Fail,,
183,Exercise Analysis,AI feedback accuracy low,Show disclaimer/warning,kvamsi82,Fail,,
184,Community,Export exercise report,File generated successfully,kvamsi82,Fail,,
185,Community,Post in community feed (valid text),Post published successfully,kvamsi82,Fail,,
186,Community,Post in community feed (empty text),Validation error,kvamsi82,Fail,,
187,Community,Comment on a post,Comment added successfully,kvamsi82,Fail,,
188,Community,Like a post,Like count updated correctly,kvamsi82,Fail,,
189,Community,Share a workout/achievement,Shared successfully,kvamsi82,Fail,,
190,Community,Report inappropriate content,Report submitted successfully,kvamsi82,Fail,,
191,Community,Join a group/community challenge,Joined successfully,kvamsi82,Fail,,
192,Training Resources,Leave a group,Removed successfully,kvamsi82,Fail,,
193,Training Resources,View workout videos,Video plays correctly,kvamsi82,Fail,,
194,Training Resources,Download training guide,File downloaded successfully,kvamsi82,Fail,,
195,Training Resources,Bookmark/save resource,Resource saved successfully,kvamsi82,Fail,,
196,Training Resources,Search training resources,Results displayed correctly,kvamsi82,Fail,,
197,Training Resources,Filter by difficulty/type,Filter applied correctly,kvamsi82,Fail,,
198,Training Resources,Resource unavailable,Show �Resource not available� message,kvamsi82,Fail,,
199,Training Resources,Track completed resources,Progress updated correctly,kvamsi82,Fail,,
200,Leaderboard & Gamification,Rate/review a resource,Review submitted successfully,kvamsi82,Fail,,
201,Leaderboard & Gamification,View global leaderboard,Rankings displayed correctly,kvamsi82,Fail,,
202,Leaderboard & Gamification,View friends-only leaderboard,Friends� rankings displayed correctly,kvamsi82,Fail,,
203,Leaderboard & Gamification,Earn badges/achievements,Badge unlocked successfully,kvamsi82,Fail,,
204,Leaderboard & Gamification,Level-up progression,Level updated correctly,kvamsi82,Fail,,
205,Leaderboard & Gamification,Daily/weekly rewards,Rewards credited successfully,kvamsi82,Fail,,
206,Leaderboard & Gamification,Tiebreaker handling in leaderboard,Correct order displayed,kvamsi82,Fail,,
207,Leaderboard & Gamification,Claim reward points,Points added successfully,kvamsi82,Fail,,
208,Friends & Chat,Leaderboard refresh interval,Data refreshed on schedule,kvamsi82,Fail,,
209,Friends & Chat,Add a friend (valid user),Friend request sent,kvamsi82,Fail,,
210,Friends & Chat,Add a friend (invalid user),Show error message,kvamsi82,Fail,,
211,Friends & Chat,Remove a friend,Removed successfully,kvamsi82,Fail,,
212,Friends & Chat,Send direct message,Message delivered successfully,kvamsi82,Fail,,
213,Friends & Chat,Send direct message (empty),Validation error,kvamsi82,Fail,,
214,Friends & Chat,Receive message notification,Notification received,kvamsi82,Fail,,
215,Friends & Chat,Block user,Block applied successfully,kvamsi82,Fail,,
216,Friends & Chat,Unblock user,User unblocked successfully,kvamsi82,Fail,,
